type	name	value	zone	address	bytes	access	other
Internal	R0	0xcdcdcdcf			4	readWrite	strong	
Internal	R1	0x4005d008			4	readWrite	strong	
Internal	R2	0x0			4	readWrite	strong	
Internal	R3	0x0			4	readWrite	strong	
Internal	R4	0x0			4	readWrite	strong	
Internal	R5	0x0			4	readWrite	strong	
Internal	R6	0x0			4	readWrite	strong	
Internal	R7	0x0			4	readWrite	strong	
Internal	R8	0x0			4	readWrite	strong	
Internal	R9	0x0			4	readWrite	strong	
Internal	R10	0x0			4	readWrite	strong	
Internal	R11	0x0			4	readWrite	strong	
Internal	R12	0x0			4	readWrite	strong	
Internal	R13	0x200003f8			4	readWrite	strong	
Internal	R14	0x2b5			4	readWrite	strong	
Internal	PC	0x2b6			4	readWrite	strong	
Internal	APSR	0xa0000000			4	readWrite	strong	
Internal	IAPSR	0xa0000000			4	readWrite	strong	
Internal	EAPSR	0xa1000000			4	readWrite	strong	
Internal	xPSR	0xa1000000			4	readWrite	strong	
Internal	IPSR	0x0			4	readWrite	strong	
Internal	EPSR	0x1000000			4	readWrite	strong	
Internal	IEPSR	0x1000000			4	readWrite	strong	
Internal	R13_main	0x200003f8			4	readWrite	strong	
Internal	R13_proc	0x0			4	readWrite	strong	
Internal	PRIMASK	0x0			4	readWrite	strong	
Internal	BASEPRI	0x0			4	readWrite	strong	
Internal	BASEPRI_MAX	0x0			4	readWrite	strong	
Internal	FAULTMASK	0x0			4	readWrite	strong	
Internal	CONTROL	0x4			4	readWrite	strong	
Internal	CFBP	0x4000000			4	readWrite	strong	
Internal	SP	0x200003f8			4	readWrite	strong	
Internal	LR	0x2b5			4	readWrite	strong	
Internal	R15	0x2b6			4	readWrite	strong	
Internal	SP_process	0x0			4	readWrite	strong	
Internal	R13_process	0x0			4	readWrite	strong	
Internal	PSP	0x0			4	readWrite	strong	
Internal	SP_main	0x200003f8			4	readWrite	strong	
Internal	MSP	0x200003f8			4	readWrite	strong	
Internal	CYCLECOUNTER	0x66			8	readOnly	strong	
Internal	CCTIMER1	0x66			8	readWrite	strong	
Internal	CCTIMER2	0x66			8	readWrite	strong	
Internal	CCSTEP	0x66			8	readOnly	strong	
Factory	WATCHDOG0LOAD	0xcdcdcdcd	Memory	0x40000000	4	readWrite	strong	
Factory	WATCHDOG0VALUE	0xcdcdcdcd	Memory	0x40000004	4	readWrite	strong	
Factory	WATCHDOG0CTL	0xcdcdcdcd	Memory	0x40000008	4	readWrite	strong	
Factory	WATCHDOG0ICR	0xcdcdcdcd	Memory	0x4000000c	4	writeOnly	strong	
Factory	WATCHDOG0RIS	0xcdcdcdcd	Memory	0x40000010	4	readWrite	strong	
Factory	WATCHDOG0MIS	0xcdcdcdcd	Memory	0x40000014	4	readWrite	strong	
Factory	WATCHDOG0TEST	0xcdcdcdcd	Memory	0x40000418	4	readWrite	strong	
Factory	WATCHDOG0LOCK	0xcdcdcdcd	Memory	0x40000c00	4	readWrite	strong	
Factory	WATCHDOG1LOAD	0xcdcdcdcd	Memory	0x40001000	4	readWrite	strong	
Factory	WATCHDOG1VALUE	0xcdcdcdcd	Memory	0x40001004	4	readWrite	strong	
Factory	WATCHDOG1CTL	0xcdcdcdcd	Memory	0x40001008	4	readWrite	strong	
Factory	WATCHDOG1ICR	0xcdcdcdcd	Memory	0x4000100c	4	writeOnly	strong	
Factory	WATCHDOG1RIS	0xcdcdcdcd	Memory	0x40001010	4	readWrite	strong	
Factory	WATCHDOG1MIS	0xcdcdcdcd	Memory	0x40001014	4	readWrite	strong	
Factory	WATCHDOG1TEST	0xcdcdcdcd	Memory	0x40001418	4	readWrite	strong	
Factory	WATCHDOG1LOCK	0xcdcdcdcd	Memory	0x40001c00	4	readWrite	strong	
Factory	GPIOADATA	0xcdcdcdcd	Memory	0x400043fc	4	readWrite	strong	
Factory	GPIOADIR	0xcdcdcdcd	Memory	0x40004400	4	readWrite	strong	
Factory	GPIOAIS	0xcdcdcdcd	Memory	0x40004404	4	readWrite	strong	
Factory	GPIOAIBE	0xcdcdcdcd	Memory	0x40004408	4	readWrite	strong	
Factory	GPIOAIEV	0xcdcdcdcd	Memory	0x4000440c	4	readWrite	strong	
Factory	GPIOAIM	0xcdcdcdcd	Memory	0x40004410	4	readWrite	strong	
Factory	GPIOARIS	0xcdcdcdcd	Memory	0x40004414	4	readWrite	strong	
Factory	GPIOAMIS	0xcdcdcdcd	Memory	0x40004418	4	readWrite	strong	
Factory	GPIOAICR	0xcdcdcdcd	Memory	0x4000441c	4	writeOnly	strong	
Factory	GPIOAAFSEL	0xcdcdcdcd	Memory	0x40004420	4	readWrite	strong	
Factory	GPIOADR2R	0xcdcdcdcd	Memory	0x40004500	4	readWrite	strong	
Factory	GPIOADR4R	0xcdcdcdcd	Memory	0x40004504	4	readWrite	strong	
Factory	GPIOADR8R	0xcdcdcdcd	Memory	0x40004508	4	readWrite	strong	
Factory	GPIOAODR	0xcdcdcdcd	Memory	0x4000450c	4	readWrite	strong	
Factory	GPIOAPUR	0xcdcdcdcd	Memory	0x40004510	4	readWrite	strong	
Factory	GPIOAPDR	0xcdcdcdcd	Memory	0x40004514	4	readWrite	strong	
Factory	GPIOASLR	0xcdcdcdcd	Memory	0x40004518	4	readWrite	strong	
Factory	GPIOADEN	0xcdcdcdcd	Memory	0x4000451c	4	readWrite	strong	
Factory	GPIOALOCK	0xcdcdcdcd	Memory	0x40004520	4	readWrite	strong	
Factory	GPIOACR	0xcdcdcdcd	Memory	0x40004524	4	readOnly	strong	
Factory	GPIOAAMSEL	0xcdcdcdcd	Memory	0x40004528	4	readWrite	strong	
Factory	GPIOAPCTL	0xcdcdcdcd	Memory	0x4000452c	4	readWrite	strong	
Factory	GPIOAADCCTL	0xcdcdcdcd	Memory	0x40004530	4	readWrite	strong	
Factory	GPIOADMACTL	0xcdcdcdcd	Memory	0x40004534	4	readWrite	strong	
Factory	GPIOBDATA	0xcdcdcdcd	Memory	0x400053fc	4	readWrite	strong	
Factory	GPIOBDIR	0xcdcdcdcd	Memory	0x40005400	4	readWrite	strong	
Factory	GPIOBIS	0xcdcdcdcd	Memory	0x40005404	4	readWrite	strong	
Factory	GPIOBIBE	0xcdcdcdcd	Memory	0x40005408	4	readWrite	strong	
Factory	GPIOBIEV	0xcdcdcdcd	Memory	0x4000540c	4	readWrite	strong	
Factory	GPIOBIM	0xcdcdcdcd	Memory	0x40005410	4	readWrite	strong	
Factory	GPIOBRIS	0xcdcdcdcd	Memory	0x40005414	4	readWrite	strong	
Factory	GPIOBMIS	0xcdcdcdcd	Memory	0x40005418	4	readWrite	strong	
Factory	GPIOBICR	0xcdcdcdcd	Memory	0x4000541c	4	writeOnly	strong	
Factory	GPIOBAFSEL	0xcdcdcdcd	Memory	0x40005420	4	readWrite	strong	
Factory	GPIOBDR2R	0xcdcdcdcd	Memory	0x40005500	4	readWrite	strong	
Factory	GPIOBDR4R	0xcdcdcdcd	Memory	0x40005504	4	readWrite	strong	
Factory	GPIOBDR8R	0xcdcdcdcd	Memory	0x40005508	4	readWrite	strong	
Factory	GPIOBODR	0xcdcdcdcd	Memory	0x4000550c	4	readWrite	strong	
Factory	GPIOBPUR	0xcdcdcdcd	Memory	0x40005510	4	readWrite	strong	
Factory	GPIOBPDR	0xcdcdcdcd	Memory	0x40005514	4	readWrite	strong	
Factory	GPIOBSLR	0xcdcdcdcd	Memory	0x40005518	4	readWrite	strong	
Factory	GPIOBDEN	0xcdcdcdcd	Memory	0x4000551c	4	readWrite	strong	
Factory	GPIOBLOCK	0xcdcdcdcd	Memory	0x40005520	4	readWrite	strong	
Factory	GPIOBCR	0xcdcdcdcd	Memory	0x40005524	4	readOnly	strong	
Factory	GPIOBAMSEL	0xcdcdcdcd	Memory	0x40005528	4	readWrite	strong	
Factory	GPIOBPCTL	0xcdcdcdcd	Memory	0x4000552c	4	readWrite	strong	
Factory	GPIOBADCCTL	0xcdcdcdcd	Memory	0x40005530	4	readWrite	strong	
Factory	GPIOBDMACTL	0xcdcdcdcd	Memory	0x40005534	4	readWrite	strong	
Factory	GPIOCDATA	0xcdcdcdcd	Memory	0x400063fc	4	readWrite	strong	
Factory	GPIOCDIR	0xcdcdcdcd	Memory	0x40006400	4	readWrite	strong	
Factory	GPIOCIS	0xcdcdcdcd	Memory	0x40006404	4	readWrite	strong	
Factory	GPIOCIBE	0xcdcdcdcd	Memory	0x40006408	4	readWrite	strong	
Factory	GPIOCIEV	0xcdcdcdcd	Memory	0x4000640c	4	readWrite	strong	
Factory	GPIOCIM	0xcdcdcdcd	Memory	0x40006410	4	readWrite	strong	
Factory	GPIOCRIS	0xcdcdcdcd	Memory	0x40006414	4	readWrite	strong	
Factory	GPIOCMIS	0xcdcdcdcd	Memory	0x40006418	4	readWrite	strong	
Factory	GPIOCICR	0xcdcdcdcd	Memory	0x4000641c	4	writeOnly	strong	
Factory	GPIOCAFSEL	0xcdcdcdcd	Memory	0x40006420	4	readWrite	strong	
Factory	GPIOCDR2R	0xcdcdcdcd	Memory	0x40006500	4	readWrite	strong	
Factory	GPIOCDR4R	0xcdcdcdcd	Memory	0x40006504	4	readWrite	strong	
Factory	GPIOCDR8R	0xcdcdcdcd	Memory	0x40006508	4	readWrite	strong	
Factory	GPIOCODR	0xcdcdcdcd	Memory	0x4000650c	4	readWrite	strong	
Factory	GPIOCPUR	0xcdcdcdcd	Memory	0x40006510	4	readWrite	strong	
Factory	GPIOCPDR	0xcdcdcdcd	Memory	0x40006514	4	readWrite	strong	
Factory	GPIOCSLR	0xcdcdcdcd	Memory	0x40006518	4	readWrite	strong	
Factory	GPIOCDEN	0xcdcdcdcd	Memory	0x4000651c	4	readWrite	strong	
Factory	GPIOCLOCK	0xcdcdcdcd	Memory	0x40006520	4	readWrite	strong	
Factory	GPIOCCR	0xcdcdcdcd	Memory	0x40006524	4	readOnly	strong	
Factory	GPIOCAMSEL	0xcdcdcdcd	Memory	0x40006528	4	readWrite	strong	
Factory	GPIOCPCTL	0xcdcdcdcd	Memory	0x4000652c	4	readWrite	strong	
Factory	GPIOCADCCTL	0xcdcdcdcd	Memory	0x40006530	4	readWrite	strong	
Factory	GPIOCDMACTL	0xcdcdcdcd	Memory	0x40006534	4	readWrite	strong	
Factory	GPIODDATA	0xcdcdcdcd	Memory	0x400073fc	4	readWrite	strong	
Factory	GPIODDIR	0xcdcdcdcd	Memory	0x40007400	4	readWrite	strong	
Factory	GPIODIS	0xcdcdcdcd	Memory	0x40007404	4	readWrite	strong	
Factory	GPIODIBE	0xcdcdcdcd	Memory	0x40007408	4	readWrite	strong	
Factory	GPIODIEV	0xcdcdcdcd	Memory	0x4000740c	4	readWrite	strong	
Factory	GPIODIM	0xcdcdcdcd	Memory	0x40007410	4	readWrite	strong	
Factory	GPIODRIS	0xcdcdcdcd	Memory	0x40007414	4	readWrite	strong	
Factory	GPIODMIS	0xcdcdcdcd	Memory	0x40007418	4	readWrite	strong	
Factory	GPIODICR	0xcdcdcdcd	Memory	0x4000741c	4	writeOnly	strong	
Factory	GPIODAFSEL	0xcdcdcdcd	Memory	0x40007420	4	readWrite	strong	
Factory	GPIODDR2R	0xcdcdcdcd	Memory	0x40007500	4	readWrite	strong	
Factory	GPIODDR4R	0xcdcdcdcd	Memory	0x40007504	4	readWrite	strong	
Factory	GPIODDR8R	0xcdcdcdcd	Memory	0x40007508	4	readWrite	strong	
Factory	GPIODODR	0xcdcdcdcd	Memory	0x4000750c	4	readWrite	strong	
Factory	GPIODPUR	0xcdcdcdcd	Memory	0x40007510	4	readWrite	strong	
Factory	GPIODPDR	0xcdcdcdcd	Memory	0x40007514	4	readWrite	strong	
Factory	GPIODSLR	0xcdcdcdcd	Memory	0x40007518	4	readWrite	strong	
Factory	GPIODDEN	0xcdcdcdcd	Memory	0x4000751c	4	readWrite	strong	
Factory	GPIODLOCK	0xcdcdcdcd	Memory	0x40007520	4	readWrite	strong	
Factory	GPIODCR	0xcdcdcdcd	Memory	0x40007524	4	readOnly	strong	
Factory	GPIODAMSEL	0xcdcdcdcd	Memory	0x40007528	4	readWrite	strong	
Factory	GPIODPCTL	0xcdcdcdcd	Memory	0x4000752c	4	readWrite	strong	
Factory	GPIODADCCTL	0xcdcdcdcd	Memory	0x40007530	4	readWrite	strong	
Factory	GPIODDMACTL	0xcdcdcdcd	Memory	0x40007534	4	readWrite	strong	
Factory	SSI0CR0	0xcdcdcdcd	Memory	0x40008000	4	readWrite	strong	
Factory	SSI0CR1	0xcdcdcdcd	Memory	0x40008004	4	readWrite	strong	
Factory	SSI0DR	0xcdcdcdcd	Memory	0x40008008	4	readWrite	strong	
Factory	SSI0SR	0xcdcdcdcd	Memory	0x4000800c	4	readWrite	strong	
Factory	SSI0CPSR	0xcdcdcdcd	Memory	0x40008010	4	readWrite	strong	
Factory	SSI0IM	0xcdcdcdcd	Memory	0x40008014	4	readWrite	strong	
Factory	SSI0RIS	0xcdcdcdcd	Memory	0x40008018	4	readWrite	strong	
Factory	SSI0MIS	0xcdcdcdcd	Memory	0x4000801c	4	readWrite	strong	
Factory	SSI0ICR	0xcdcdcdcd	Memory	0x40008020	4	writeOnly	strong	
Factory	SSI0DMACTL	0xcdcdcdcd	Memory	0x40008024	4	readWrite	strong	
Factory	SSI0CC	0xcdcdcdcd	Memory	0x40008fc8	4	readWrite	strong	
Factory	SSI1CR0	0xcdcdcdcd	Memory	0x40009000	4	readWrite	strong	
Factory	SSI1CR1	0xcdcdcdcd	Memory	0x40009004	4	readWrite	strong	
Factory	SSI1DR	0xcdcdcdcd	Memory	0x40009008	4	readWrite	strong	
Factory	SSI1SR	0xcdcdcdcd	Memory	0x4000900c	4	readWrite	strong	
Factory	SSI1CPSR	0xcdcdcdcd	Memory	0x40009010	4	readWrite	strong	
Factory	SSI1IM	0xcdcdcdcd	Memory	0x40009014	4	readWrite	strong	
Factory	SSI1RIS	0xcdcdcdcd	Memory	0x40009018	4	readWrite	strong	
Factory	SSI1MIS	0xcdcdcdcd	Memory	0x4000901c	4	readWrite	strong	
Factory	SSI1ICR	0xcdcdcdcd	Memory	0x40009020	4	writeOnly	strong	
Factory	SSI1DMACTL	0xcdcdcdcd	Memory	0x40009024	4	readWrite	strong	
Factory	SSI1CC	0xcdcdcdcd	Memory	0x40009fc8	4	readWrite	strong	
Factory	SSI2CR0	0xcdcdcdcd	Memory	0x4000a000	4	readWrite	strong	
Factory	SSI2CR1	0xcdcdcdcd	Memory	0x4000a004	4	readWrite	strong	
Factory	SSI2DR	0xcdcdcdcd	Memory	0x4000a008	4	readWrite	strong	
Factory	SSI2SR	0xcdcdcdcd	Memory	0x4000a00c	4	readWrite	strong	
Factory	SSI2CPSR	0xcdcdcdcd	Memory	0x4000a010	4	readWrite	strong	
Factory	SSI2IM	0xcdcdcdcd	Memory	0x4000a014	4	readWrite	strong	
Factory	SSI2RIS	0xcdcdcdcd	Memory	0x4000a018	4	readWrite	strong	
Factory	SSI2MIS	0xcdcdcdcd	Memory	0x4000a01c	4	readWrite	strong	
Factory	SSI2ICR	0xcdcdcdcd	Memory	0x4000a020	4	writeOnly	strong	
Factory	SSI2DMACTL	0xcdcdcdcd	Memory	0x4000a024	4	readWrite	strong	
Factory	SSI2CC	0xcdcdcdcd	Memory	0x4000afc8	4	readWrite	strong	
Factory	SSI3CR0	0xcdcdcdcd	Memory	0x4000b000	4	readWrite	strong	
Factory	SSI3CR1	0xcdcdcdcd	Memory	0x4000b004	4	readWrite	strong	
Factory	SSI3DR	0xcdcdcdcd	Memory	0x4000b008	4	readWrite	strong	
Factory	SSI3SR	0xcdcdcdcd	Memory	0x4000b00c	4	readWrite	strong	
Factory	SSI3CPSR	0xcdcdcdcd	Memory	0x4000b010	4	readWrite	strong	
Factory	SSI3IM	0xcdcdcdcd	Memory	0x4000b014	4	readWrite	strong	
Factory	SSI3RIS	0xcdcdcdcd	Memory	0x4000b018	4	readWrite	strong	
Factory	SSI3MIS	0xcdcdcdcd	Memory	0x4000b01c	4	readWrite	strong	
Factory	SSI3ICR	0xcdcdcdcd	Memory	0x4000b020	4	writeOnly	strong	
Factory	SSI3DMACTL	0xcdcdcdcd	Memory	0x4000b024	4	readWrite	strong	
Factory	SSI3CC	0xcdcdcdcd	Memory	0x4000bfc8	4	readWrite	strong	
Factory	UART0DR	0xcdcdcdcd	Memory	0x4000c000	4	readWrite	strong	
Factory	UART0RSR	0xcdcdcdcd	Memory	0x4000c004	4	readWrite	strong	
Factory	UART0ECR_UART_ALT	0xcdcdcdcd	Memory	0x4000c004	4	readWrite	strong	
Factory	UART0FR	0xcdcdcdcd	Memory	0x4000c018	4	readWrite	strong	
Factory	UART0ILPR	0xcdcdcdcd	Memory	0x4000c020	4	readWrite	strong	
Factory	UART0IBRD	0xcdcdcdcd	Memory	0x4000c024	4	readWrite	strong	
Factory	UART0FBRD	0xcdcdcdcd	Memory	0x4000c028	4	readWrite	strong	
Factory	UART0LCRH	0xcdcdcdcd	Memory	0x4000c02c	4	readWrite	strong	
Factory	UART0CTL	0xcdcdcdcd	Memory	0x4000c030	4	readWrite	strong	
Factory	UART0IFLS	0xcdcdcdcd	Memory	0x4000c034	4	readWrite	strong	
Factory	UART0IM	0xcdcdcdcd	Memory	0x4000c038	4	readWrite	strong	
Factory	UART0RIS	0xcdcdcdcd	Memory	0x4000c03c	4	readWrite	strong	
Factory	UART0MIS	0xcdcdcdcd	Memory	0x4000c040	4	readWrite	strong	
Factory	UART0ICR	0xcdcdcdcd	Memory	0x4000c044	4	writeOnly	strong	
Factory	UART0DMACTL	0xcdcdcdcd	Memory	0x4000c048	4	readWrite	strong	
Factory	UART0_9BITADDR	0xcdcdcdcd	Memory	0x4000c0a4	4	readWrite	strong	
Factory	UART0_9BITAMASK	0xcdcdcdcd	Memory	0x4000c0a8	4	readWrite	strong	
Factory	UART0PP	0xcdcdcdcd	Memory	0x4000cfc0	4	readWrite	strong	
Factory	UART0CC	0xcdcdcdcd	Memory	0x4000cfc8	4	readWrite	strong	
Factory	UART1DR	0xcdcdcdcd	Memory	0x4000d000	4	readWrite	strong	
Factory	UART1RSR	0xcdcdcdcd	Memory	0x4000d004	4	readWrite	strong	
Factory	UART1ECR_UART_ALT	0xcdcdcdcd	Memory	0x4000d004	4	readWrite	strong	
Factory	UART1FR	0xcdcdcdcd	Memory	0x4000d018	4	readWrite	strong	
Factory	UART1ILPR	0xcdcdcdcd	Memory	0x4000d020	4	readWrite	strong	
Factory	UART1IBRD	0xcdcdcdcd	Memory	0x4000d024	4	readWrite	strong	
Factory	UART1FBRD	0xcdcdcdcd	Memory	0x4000d028	4	readWrite	strong	
Factory	UART1LCRH	0xcdcdcdcd	Memory	0x4000d02c	4	readWrite	strong	
